=== Re 1.0+6 ===
  al     cl          cd
 0.0    0.0         0.0046209
 2.0    0.22346     0.0049865

=== Re 1.0+5 ===
  al     cl          cd
 0.0    0.0         0.0067269
 2.0    0.22398     0.0067301
