"nut","nuTilda","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
0,0,-0.18092,-0.0033291,-2.0052e-22,-8.6267e-05,0,0,0,0.75319,0.24989,-0.5,0.059405
0,0,-0.18349,-0.0033713,-5.9262e-22,-0.00010771,0,0,0,0.76348,0.23959,-0.5,0.059114
0,0,-0.18594,-0.0034133,2.0982e-22,-0.00013037,0,0,0,0.7736,0.22949,-0.5,0.058768
0,0,-0.18826,-0.0034552,-9.3803e-24,-0.00015429,0,0,0,0.78352,0.21957,-0.5,0.058364
0,0,-0.19045,-0.0034969,9.4863e-24,-0.00017953,0,0,0,0.79326,0.20984,-0.5,0.057906
0,0,-0.1925,-0.0035383,-9.6313e-24,-0.00020615,0,0,0,0.8028,0.20032,-0.5,0.057392
0,0,-0.19439,-0.0035794,-4.391e-22,-0.00023422,0,0,0,0.81215,0.19098,-0.5,0.056823
0,0,-0.19613,-0.0036201,2.8369e-27,-0.00026381,0,0,0,0.82131,0.18185,-0.5,0.056199
0,0,-0.1977,-0.0036604,-9.3575e-22,-0.00029501,0,0,0,0.83026,0.17292,-0.5,0.055523
0,0,-0.19908,-0.0037,-9.3691e-22,-0.00032788,0,0,0,0.83902,0.16419,-0.5,0.054793
0,0,-0.20027,-0.003739,-4.584e-25,-0.00036252,0,0,0,0.84758,0.15567,-0.5,0.054012
0,0,-0.20126,-0.0037772,-4.9776e-22,-0.00039904,0,0,0,0.85593,0.14736,-0.5,0.053179
0,0,-0.20202,-0.0038145,-4.9823e-22,-0.00043752,0,0,0,0.86408,0.13926,-0.5,0.052295
0,0,-0.20255,-0.0038507,2.9847e-39,-0.00047809,0,0,0,0.87202,0.13137,-0.5,0.051363
0,0,-0.20282,-0.0038857,4.4842e-44,-0.00052088,0,0,0,0.87976,0.12369,-0.5,0.050381
0,0,-0.20282,-0.0039192,-2.378e-25,-0.00056601,0,0,0,0.88729,0.11623,-0.5,0.049353
0,0,-0.20252,-0.0039511,-2.378e-25,-0.00061363,0,0,0,0.89461,0.10899,-0.5,0.048277
0,0,-0.2019,-0.003981,-1.1162e-21,-0.00066389,0,0,0,0.90172,0.10197,-0.5,0.047157
0,0,-0.20091,-0.0040087,-2.2512e-21,-0.00071696,0,0,0,0.90862,0.095173,-0.5,0.045992
0,0,-0.19953,-0.0040339,-1.1349e-21,-0.00077303,0,0,0,0.91531,0.088597,-0.5,0.044785
0,0,-0.1977,-0.0040561,1.1691e-21,-0.00083228,0,0,0,0.92178,0.082245,-0.5,0.043535
