 9.73832022e-01 3.82913597e-03 1.59986265e-03 2.01214144e-03 1.39890603e-03 1.43836784e+00
 9.21567790e-01 4.24933479e-03 1.98763676e-03 1.57444489e-03 1.12510859e-03 1.39937150e+00
 8.69518536e-01 4.68414906e-03 2.32219924e-03 1.26324633e-03 9.25058323e-04 1.36558561e+00
 8.17826922e-01 5.24443761e-03 2.70900893e-03 9.85846660e-04 7.42701722e-04 1.32737899e+00
 7.66634632e-01 -4.78136651e-04 -2.55254989e-04 9.69168589e-04 7.17902658e-04 1.35000000e+00
 7.16081980e-01 -5.03257223e-04 -2.76413960e-04 3.86182438e-03 6.72440255e-04 5.74300000e+00
 6.66307528e-01 -5.29516298e-04 -2.98411905e-04 2.67204405e-03 6.30929684e-04 4.23509009e+00
 6.17447704e-01 -2.37077343e-05 -1.36848364e-05 2.11444524e-03 5.92029343e-04 3.57152102e+00
 5.69636429e-01 1.95353371e-04 1.15362558e-04 1.82265037e-03 5.55005168e-04 3.28402414e+00
 5.23004750e-01 3.17247645e-04 1.91486816e-04 1.61956580e-03 5.19454321e-04 3.11782140e+00
 4.77680482e-01 4.16165471e-04 2.56537221e-04 1.45830761e-03 4.85162304e-04 3.00581394e+00
 4.33787856e-01 5.09385195e-04 3.20417227e-04 1.32129676e-03 4.52021342e-04 2.92308491e+00
 3.91447178e-01 6.03891206e-04 3.87269120e-04 1.20049569e-03 4.19980600e-04 2.85845511e+00
 3.50774501e-01 7.03621636e-04 4.59526111e-04 1.09165813e-03 3.89014772e-04 2.80621254e+00
 3.11881306e-01 8.11498857e-04 5.39042152e-04 9.92243494e-04 3.59104283e-04 2.76310682e+00
 2.74874197e-01 9.30285017e-04 6.27570896e-04 9.00549890e-04 3.30223343e-04 2.72709337e+00
 2.39854607e-01 1.06313110e-03 7.27081031e-04 8.15320192e-04 3.02333660e-04 2.69675627e+00
 2.06918522e-01 1.21411068e-03 8.40069771e-04 7.35552223e-04 2.75382409e-04 2.67102109e+00
 1.76156219e-01 1.38891647e-03 9.69968476e-04 6.60404891e-04 2.49303648e-04 2.64899810e+00
 1.47652014e-01 1.59592998e-03 1.12174069e-03 5.89153926e-04 2.24022787e-04 2.62988393e+00
 1.21484036e-01 1.84802244e-03 1.30282351e-03 5.21177488e-04 1.99464247e-04 2.61288675e+00
 9.77240091e-02 2.16575312e-03 1.52463726e-03 4.55857307e-04 1.75563125e-04 2.59654360e+00
 7.64370579e-02 2.58350906e-03 1.80511270e-03 3.92803611e-04 1.52282890e-04 2.57943365e+00
 5.76815286e-02 3.16208554e-03 2.17288124e-03 3.31873106e-04 1.29643672e-04 2.55988667e+00
 4.15088287e-02 4.01584491e-03 2.67317675e-03 2.73258442e-04 1.07771718e-04 2.53553015e+00
 2.79632865e-02 5.37587727e-03 3.37106756e-03 2.17732812e-04 8.69981822e-05 2.50272829e+00
 1.70820293e-02 7.74377021e-03 4.31877599e-03 1.67240462e-04 6.80992423e-05 2.45583440e+00
 8.89488202e-03 1.22580765e-02 5.31773169e-03 1.26375963e-04 5.30686567e-05 2.38136728e+00
 3.42428494e-03 2.17776354e-02 5.12451736e-03 1.05162978e-04 4.84224636e-05 2.17178083e+00
 6.85232623e-04 6.90939731e-02 2.35275815e-03 8.02674345e-05 5.34768630e-05 1.50097500e+00
 6.85232623e-04 6.90939731e-02 2.35275815e-03 8.02674345e-05 5.34768630e-05 1.50097500e+00
 3.42428494e-03 2.17776354e-02 5.12451736e-03 1.05162978e-04 4.84224636e-05 2.17178083e+00
