 9.73222979e-01 1.65391842e-01
 9.20750135e-01 7.26631070e-02
 8.68507396e-01 2.51205135e-02
 8.16636761e-01 -8.78266534e-03
 7.65279571e-01 -3.61745682e-02
 7.14576110e-01 -5.99053687e-02
 6.64665206e-01 -8.13938357e-02
 6.15683809e-01 -1.01396722e-01
 5.67766565e-01 -1.20294505e-01
 5.21045386e-01 -1.38221441e-01
 4.75649026e-01 -1.55133834e-01
 4.31702653e-01 -1.70849975e-01
 3.89327440e-01 -1.85075419e-01
 3.48640172e-01 -1.97419535e-01
 3.09752868e-01 -2.07405446e-01
 2.72772429e-01 -2.14473130e-01
 2.37800314e-01 -2.17973286e-01
 2.04932244e-01 -2.17147046e-01
 1.74257937e-01 -2.11082914e-01
 1.45860875e-01 -1.98636358e-01
 1.19818100e-01 -1.78287090e-01
 9.62000433e-02 -1.47890440e-01
 7.50703799e-02 -1.04245690e-01
 5.64859140e-02 -4.23479495e-02
 4.04964838e-02 4.58768879e-02
 2.71448893e-02 1.73462832e-01
 1.64668374e-02 3.59678867e-01
 8.49090191e-03 6.21155953e-01
 3.23849470e-03 9.10851820e-01
 7.23847302e-04 9.66726102e-01
 9.50369583e-04 5.04348868e-01
 3.91048970e-03 -1.50524804e-01
 9.59261158e-03 -5.53249307e-01
 1.79809959e-02 -7.18146806e-01
 2.90522012e-02 -7.66953211e-01
 4.27751880e-02 -7.67448577e-01
 5.91114536e-02 -7.48364471e-01
 7.80151956e-02 -7.21270732e-01
 9.94334997e-02 -6.90780526e-01
 1.23306549e-01 -6.58694020e-01
 1.49567848e-01 -6.25678585e-01
 1.78144468e-01 -5.91967617e-01
 2.08957289e-01 -5.57655559e-01
 2.41921260e-01 -5.22819177e-01
 2.76945659e-01 -4.87560741e-01
 3.13934352e-01 -4.52014917e-01
 3.52786052e-01 -4.16338540e-01
 3.93394585e-01 -3.80692438e-01
 4.35649143e-01 -3.45219620e-01
 4.79434545e-01 -3.10021573e-01
 5.24631500e-01 -2.75132570e-01
 5.71116865e-01 -2.40490254e-01
 6.18763920e-01 -2.05898476e-01
 6.67442644e-01 -1.70974245e-01
 7.17020002e-01 -1.35061722e-01
 7.67360254e-01 -9.70738098e-02
 8.18325273e-01 -5.51572306e-02
 8.69774888e-01 -5.85395400e-03
 9.21567243e-01 5.85794022e-02
 9.73559187e-01 1.65391842e-01
