#      x          Cp  
     1.00000   -0.06435
     0.99168   -0.06529
     0.98037   -0.06634
     0.96727   -0.06753
     0.95272   -0.06883
     0.93720   -0.07023
     0.92112   -0.07175
     0.90474   -0.07338
     0.88821   -0.07514
     0.87160   -0.07706
     0.85494   -0.07916
     0.83827   -0.08148
     0.82158   -0.08404
     0.80488   -0.08688
     0.78817   -0.09004
     0.77146   -0.09354
     0.75475   -0.09744
     0.73803   -0.10176
     0.72132   -0.10652
     0.70460   -0.11175
     0.68789   -0.11746
     0.67118   -0.12358
     0.65447   -0.13012
     0.63777   -0.13713
     0.62108   -0.14464
     0.60440   -0.15262
     0.58772   -0.16105
     0.57106   -0.16986
     0.55441   -0.17901
     0.53778   -0.18843
     0.52116   -0.19806
     0.50456   -0.20785
     0.48798   -0.21777
     0.47143   -0.22776
     0.45489   -0.23781
     0.43839   -0.24788
     0.42191   -0.25796
     0.40546   -0.26804
     0.38905   -0.27808
     0.37268   -0.28808
     0.35635   -0.29802
     0.34007   -0.30786
     0.32383   -0.31760
     0.30766   -0.32719
     0.29154   -0.33662
     0.27550   -0.34582
     0.25953   -0.35477
     0.24366   -0.36340
     0.22788   -0.37164
     0.21222   -0.37942
     0.19670   -0.38663
     0.18135   -0.39315
     0.16619   -0.39884
     0.15127   -0.40350
     0.13666   -0.40688
     0.12246   -0.40870
     0.10877   -0.40858
     0.09575   -0.40611
     0.08358   -0.40082
     0.07242   -0.39227
     0.06239   -0.38010
     0.05354   -0.36399
     0.04581   -0.34367
     0.03910   -0.31885
     0.03329   -0.28913
     0.02826   -0.25395
     0.02387   -0.21257
     0.02003   -0.16405
     0.01666   -0.10724
     0.01369   -0.04077
     0.01108    0.03684
     0.00879    0.12704
     0.00678    0.23091
     0.00505    0.34853
     0.00358    0.47799
     0.00236    0.61407
     0.00140    0.74730
     0.00070    0.86413
     0.00024    0.95017
     0.00003    0.99454
     0.00003    0.99454
     0.00024    0.95017
     0.00070    0.86413
     0.00140    0.74730
     0.00236    0.61407
     0.00358    0.47799
     0.00505    0.34853
     0.00678    0.23091
     0.00879    0.12704
     0.01108    0.03684
     0.01369   -0.04077
     0.01666   -0.10724
     0.02003   -0.16405
     0.02387   -0.21257
     0.02826   -0.25395
     0.03329   -0.28913
     0.03910   -0.31885
     0.04581   -0.34367
     0.05354   -0.36399
     0.06239   -0.38010
     0.07242   -0.39227
     0.08358   -0.40082
     0.09575   -0.40611
     0.10877   -0.40858
     0.12246   -0.40870
     0.13666   -0.40688
     0.15127   -0.40350
     0.16619   -0.39884
     0.18135   -0.39315
     0.19670   -0.38663
     0.21222   -0.37942
     0.22788   -0.37164
     0.24366   -0.36340
     0.25953   -0.35477
     0.27550   -0.34582
     0.29154   -0.33662
     0.30766   -0.32719
     0.32383   -0.31760
     0.34007   -0.30786
     0.35635   -0.29802
     0.37268   -0.28808
     0.38905   -0.27808
     0.40546   -0.26804
     0.42191   -0.25796
     0.43839   -0.24788
     0.45489   -0.23781
     0.47143   -0.22776
     0.48798   -0.21777
     0.50456   -0.20785
     0.52116   -0.19806
     0.53778   -0.18843
     0.55441   -0.17901
     0.57106   -0.16986
     0.58772   -0.16105
     0.60440   -0.15262
     0.62108   -0.14464
     0.63777   -0.13713
     0.65447   -0.13012
     0.67118   -0.12358
     0.68789   -0.11746
     0.70460   -0.11175
     0.72132   -0.10652
     0.73803   -0.10176
     0.75475   -0.09744
     0.77146   -0.09354
     0.78817   -0.09004
     0.80488   -0.08688
     0.82158   -0.08404
     0.83827   -0.08148
     0.85494   -0.07916
     0.87160   -0.07706
     0.88821   -0.07514
     0.90474   -0.07338
     0.92112   -0.07175
     0.93720   -0.07023
     0.95272   -0.06883
     0.96727   -0.06753
     0.98037   -0.06634
     0.99168   -0.06529
     1.00000   -0.06435
