#      x          Cp  
     1.00000    0.21574
     0.99168    0.19091
     0.98037    0.15757
     0.96727    0.12763
     0.95272    0.10083
     0.93720    0.07736
     0.92112    0.05685
     0.90474    0.03881
     0.88821    0.02277
     0.87160    0.00838
     0.85494   -0.00465
     0.83827   -0.01650
     0.82158   -0.02731
     0.80488   -0.03715
     0.78817   -0.04605
     0.77146   -0.05410
     0.75475   -0.06167
     0.73803   -0.07029
     0.72132   -0.08466
     0.70460   -0.11201
     0.68789   -0.14566
     0.67118   -0.14932
     0.65447   -0.15428
     0.63777   -0.16039
     0.62108   -0.16717
     0.60440   -0.17443
     0.58772   -0.18206
     0.57106   -0.19000
     0.55441   -0.19820
     0.53778   -0.20663
     0.52116   -0.21524
     0.50456   -0.22403
     0.48798   -0.23295
     0.47143   -0.24200
     0.45489   -0.25115
     0.43839   -0.26039
     0.42191   -0.26970
     0.40546   -0.27906
     0.38905   -0.28845
     0.37268   -0.29785
     0.35635   -0.30724
     0.34007   -0.31660
     0.32383   -0.32589
     0.30766   -0.33508
     0.29154   -0.34413
     0.27550   -0.35300
     0.25953   -0.36165
     0.24366   -0.37000
     0.22788   -0.37800
     0.21222   -0.38555
     0.19670   -0.39257
     0.18135   -0.39891
     0.16619   -0.40444
     0.15127   -0.40897
     0.13666   -0.41225
     0.12246   -0.41400
     0.10877   -0.41386
     0.09575   -0.41141
     0.08358   -0.40620
     0.07242   -0.39780
     0.06239   -0.38585
     0.05354   -0.37003
     0.04581   -0.35009
     0.03910   -0.32569
     0.03329   -0.29646
     0.02826   -0.26180
     0.02387   -0.22096
     0.02003   -0.17299
     0.01666   -0.11669
     0.01369   -0.05066
     0.01108    0.02665
     0.00879    0.11676
     0.00678    0.22086
     0.00505    0.33912
     0.00358    0.46971
     0.00236    0.60741
     0.00140    0.74263
     0.00070    0.86149
     0.00024    0.94917
     0.00003    0.99443
     0.00003    0.99443
     0.00024    0.94917
     0.00070    0.86149
     0.00140    0.74263
     0.00236    0.60741
     0.00358    0.46971
     0.00505    0.33912
     0.00678    0.22086
     0.00879    0.11676
     0.01108    0.02665
     0.01369   -0.05066
     0.01666   -0.11669
     0.02003   -0.17299
     0.02387   -0.22096
     0.02826   -0.26180
     0.03329   -0.29646
     0.03910   -0.32569
     0.04581   -0.35009
     0.05354   -0.37003
     0.06239   -0.38585
     0.07242   -0.39780
     0.08358   -0.40620
     0.09575   -0.41141
     0.10877   -0.41386
     0.12246   -0.41400
     0.13666   -0.41225
     0.15127   -0.40897
     0.16619   -0.40444
     0.18135   -0.39891
     0.19670   -0.39257
     0.21222   -0.38555
     0.22788   -0.37800
     0.24366   -0.37000
     0.25953   -0.36165
     0.27550   -0.35300
     0.29154   -0.34413
     0.30766   -0.33508
     0.32383   -0.32589
     0.34007   -0.31660
     0.35635   -0.30724
     0.37268   -0.29785
     0.38905   -0.28845
     0.40546   -0.27906
     0.42191   -0.26970
     0.43839   -0.26039
     0.45489   -0.25115
     0.47143   -0.24200
     0.48798   -0.23295
     0.50456   -0.22403
     0.52116   -0.21524
     0.53778   -0.20663
     0.55441   -0.19820
     0.57106   -0.19000
     0.58772   -0.18206
     0.60440   -0.17443
     0.62108   -0.16717
     0.63777   -0.16039
     0.65447   -0.15428
     0.67118   -0.14932
     0.68789   -0.14566
     0.70460   -0.11201
     0.72132   -0.08466
     0.73803   -0.07029
     0.75475   -0.06167
     0.77146   -0.05410
     0.78817   -0.04605
     0.80488   -0.03715
     0.82158   -0.02731
     0.83827   -0.01650
     0.85494   -0.00465
     0.87160    0.00838
     0.88821    0.02277
     0.90474    0.03881
     0.92112    0.05685
     0.93720    0.07736
     0.95272    0.10083
     0.96727    0.12763
     0.98037    0.15757
     0.99168    0.19091
     1.00000    0.21574
