#      x          Cp  
     1.00000    0.21470
     0.99168    0.19170
     0.98037    0.16039
     0.96727    0.12974
     0.95272    0.10079
     0.93720    0.07441
     0.92112    0.05069
     0.90474    0.02934
     0.88821    0.00999
     0.87160   -0.00775
     0.85494   -0.02419
     0.83827   -0.03959
     0.82158   -0.05412
     0.80488   -0.06796
     0.78817   -0.08122
     0.77146   -0.09401
     0.75475   -0.10641
     0.73803   -0.11848
     0.72132   -0.13028
     0.70460   -0.14186
     0.68789   -0.15323
     0.67118   -0.16443
     0.65447   -0.17546
     0.63777   -0.18630
     0.62108   -0.19694
     0.60440   -0.20732
     0.58772   -0.21737
     0.57106   -0.22696
     0.55441   -0.23604
     0.53778   -0.24485
     0.52116   -0.25510
     0.50456   -0.27328
     0.48798   -0.30962
     0.47143   -0.34287
     0.45489   -0.34853
     0.43839   -0.35729
     0.42191   -0.36755
     0.40546   -0.37878
     0.38905   -0.39076
     0.37268   -0.40335
     0.35635   -0.41648
     0.34007   -0.43007
     0.32383   -0.44408
     0.30766   -0.45847
     0.29154   -0.47321
     0.27550   -0.48828
     0.25953   -0.50366
     0.24366   -0.51933
     0.22788   -0.53529
     0.21222   -0.55153
     0.19670   -0.56805
     0.18135   -0.58483
     0.16619   -0.60188
     0.15127   -0.61916
     0.13666   -0.63664
     0.12246   -0.65422
     0.10877   -0.67175
     0.09575   -0.68898
     0.08358   -0.70554
     0.07242   -0.72094
     0.06239   -0.73460
     0.05354   -0.74595
     0.04581   -0.75439
     0.03910   -0.75936
     0.03329   -0.76022
     0.02826   -0.75621
     0.02387   -0.74634
     0.02003   -0.72936
     0.01666   -0.70357
     0.01369   -0.66680
     0.01108   -0.61630
     0.00879   -0.54867
     0.00678   -0.46004
     0.00505   -0.34644
     0.00358   -0.20484
     0.00236   -0.03482
     0.00140    0.15865
     0.00070    0.36399
     0.00024    0.56256
     0.00003    0.73469
     0.00003    0.86585
     0.00024    0.95564
     0.00070    0.99709
     0.00140    0.99069
     0.00236    0.94476
     0.00358    0.87215
     0.00505    0.78431
     0.00678    0.69120
     0.00879    0.59819
     0.01108    0.50935
     0.01369    0.42601
     0.01666    0.34895
     0.02003    0.27809
     0.02387    0.21313
     0.02826    0.15364
     0.03329    0.09919
     0.03910    0.04944
     0.04581    0.00415
     0.05354   -0.03676
     0.06239   -0.07326
     0.07242   -0.10525
     0.08358   -0.13268
     0.09575   -0.15566
     0.10877   -0.17446
     0.12246   -0.18951
     0.13666   -0.20129
     0.15127   -0.21028
     0.16619   -0.21691
     0.18135   -0.22156
     0.19670   -0.22452
     0.21222   -0.22608
     0.22788   -0.22643
     0.24366   -0.22576
     0.25953   -0.22421
     0.27550   -0.22192
     0.29154   -0.21899
     0.30766   -0.21552
     0.32383   -0.21157
     0.34007   -0.20722
     0.35635   -0.20253
     0.37268   -0.19755
     0.38905   -0.19232
     0.40546   -0.18688
     0.42191   -0.18126
     0.43839   -0.17549
     0.45489   -0.16959
     0.47143   -0.16360
     0.48798   -0.15751
     0.50456   -0.15135
     0.52116   -0.14513
     0.53778   -0.13886
     0.55441   -0.13255
     0.57106   -0.12620
     0.58772   -0.11981
     0.60440   -0.11339
     0.62108   -0.10694
     0.63777   -0.10046
     0.65447   -0.09396
     0.67118   -0.08743
     0.68789   -0.08089
     0.70460   -0.07435
     0.72132   -0.06782
     0.73803   -0.06134
     0.75475   -0.05494
     0.77146   -0.04866
     0.78817   -0.04256
     0.80488   -0.03671
     0.82158   -0.03116
     0.83827   -0.02604
     0.85494   -0.02166
     0.87160   -0.01176
     0.88821    0.02738
     0.90474    0.05775
     0.92112    0.07735
     0.93720    0.09390
     0.95272    0.11204
     0.96727    0.13371
     0.98037    0.15946
     0.99168    0.19111
     1.00000    0.21470
