#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H       H*        P         m          K          tau         Di
   0.71139  0.29154  0.06000  1.15612  0.002980  0.001090  0.003627    2.7341    1.5633  0.00146  0.00345  0.00263
   0.72743  0.27550  0.05988  1.16010  0.002852  0.001050  0.003895    2.7152    1.5647  0.00141  0.00331  0.00257
   0.74340  0.25953  0.05963  1.16394  0.002725  0.001010  0.004181    2.6972    1.5662  0.00137  0.00317  0.00250
   0.75928  0.24366  0.05924  1.16765  0.002600  0.000970  0.004489    2.6800    1.5676  0.00132  0.00304  0.00242
   0.77506  0.22788  0.05871  1.17117  0.002477  0.000930  0.004821    2.6636    1.5690  0.00128  0.00290  0.00234
   0.79074  0.21222  0.05803  1.17449  0.002356  0.000890  0.005180    2.6479    1.5703  0.00123  0.00277  0.00226
   0.80628  0.19670  0.05718  1.17755  0.002235  0.000849  0.005572    2.6328    1.5717  0.00118  0.00263  0.00218
   0.82167  0.18135  0.05616  1.18032  0.002115  0.000808  0.006002    2.6183    1.5730  0.00113  0.00250  0.00209
   0.83688  0.16619  0.05497  1.18273  0.001996  0.000767  0.006477    2.6042    1.5743  0.00107  0.00236  0.00200
   0.85186  0.15127  0.05358  1.18469  0.001878  0.000725  0.007006    2.5906    1.5756  0.00102  0.00222  0.00190
   0.86655  0.13666  0.05200  1.18612  0.001760  0.000683  0.007598    2.5773    1.5769  0.00096  0.00209  0.00180
   0.88087  0.12246  0.05022  1.18689  0.001642  0.000641  0.008267    2.5641    1.5782  0.00090  0.00195  0.00169
   0.89470  0.10877  0.04824  1.18684  0.001526  0.000598  0.009026    2.5512    1.5795  0.00084  0.00181  0.00158
   0.90789  0.09575  0.04609  1.18579  0.001412  0.000556  0.009888    2.5382    1.5808  0.00078  0.00167  0.00147
   0.92028  0.08358  0.04381  1.18356  0.001301  0.000515  0.010867    2.5251    1.5822  0.00072  0.00154  0.00135
   0.93169  0.07242  0.04142  1.17995  0.001194  0.000475  0.011971    2.5119    1.5836  0.00066  0.00141  0.00124
   0.94200  0.06239  0.03900  1.17478  0.001093  0.000438  0.013205    2.4985    1.5850  0.00060  0.00128  0.00112
   0.95118  0.05354  0.03659  1.16790  0.001000  0.000402  0.014569    2.4849    1.5865  0.00055  0.00117  0.00102
   0.95926  0.04581  0.03424  1.15917  0.000913  0.000370  0.016061    2.4710    1.5881  0.00050  0.00106  0.00091
   0.96635  0.03910  0.03196  1.14841  0.000834  0.000340  0.017679    2.4569    1.5897  0.00045  0.00096  0.00082
   0.97255  0.03329  0.02976  1.13540  0.000762  0.000312  0.019427    2.4425    1.5914  0.00040  0.00086  0.00073
   0.97802  0.02826  0.02764  1.11980  0.000696  0.000287  0.021304    2.4277    1.5932  0.00036  0.00078  0.00064
   0.98286  0.02387  0.02560  1.10117  0.000635  0.000263  0.023310    2.4125    1.5951  0.00032  0.00070  0.00056
   0.98718  0.02003  0.02361  1.07891  0.000579  0.000242  0.025440    2.3969    1.5971  0.00028  0.00062  0.00048
   0.99107  0.01666  0.02167  1.05225  0.000527  0.000221  0.027675    2.3808    1.5991  0.00025  0.00055  0.00041
   0.99460  0.01369  0.01977  1.02018  0.000480  0.000203  0.029976    2.3643    1.6013  0.00021  0.00049  0.00035
   0.99781  0.01108  0.01789  0.98141  0.000436  0.000186  0.032266    2.3474    1.6036  0.00018  0.00043  0.00028
   1.00078  0.00879  0.01602  0.93433  0.000396  0.000170  0.034409    2.3301    1.6060  0.00015  0.00037  0.00022
   1.00352  0.00678  0.01415  0.87698  0.000359  0.000155  0.036184    2.3126    1.6084  0.00012  0.00031  0.00017
   1.00607  0.00505  0.01227  0.80714  0.000326  0.000142  0.037253    2.2954    1.6109  0.00009  0.00026  0.00012
   1.00847  0.00358  0.01038  0.72250  0.000298  0.000131  0.037144    2.2786    1.6134  0.00007  0.00021  0.00008
   1.01072  0.00236  0.00848  0.62123  0.000273  0.000121  0.035271    2.2633    1.6158  0.00005  0.00017  0.00005
   1.01286  0.00140  0.00657  0.50269  0.000254  0.000113  0.031112    2.2496    1.6179  0.00003  0.00013  0.00002
   1.01490  0.00070  0.00466  0.36860  0.000240  0.000107  0.024379    2.2396    1.6195  0.00001  0.00009  0.00001
   1.01685  0.00024  0.00276  0.22323  0.000231  0.000103  0.015438    2.2319    1.6207  0.00001  0.00005  0.00000
   1.01872  0.00003  0.00091  0.07387  0.000227  0.000102  0.005198    2.2295    1.6211  0.00000  0.00002  0.00000
   1.02053  0.00003 -0.00091 -0.07387  0.000227  0.000102  0.005197    2.2295    1.6211  0.00000 -0.00002 -0.00000
   1.02240  0.00024 -0.00276 -0.22323  0.000231  0.000103  0.015437    2.2319    1.6207  0.00001 -0.00005 -0.00000
   1.02434  0.00070 -0.00466 -0.36860  0.000240  0.000107  0.024378    2.2396    1.6195  0.00001 -0.00009 -0.00001
   1.02638  0.00140 -0.00657 -0.50269  0.000254  0.000113  0.031112    2.2496    1.6179  0.00003 -0.00013 -0.00002
   1.02852  0.00236 -0.00848 -0.62123  0.000273  0.000121  0.035271    2.2633    1.6158  0.00005 -0.00017 -0.00005
   1.03078  0.00358 -0.01038 -0.72250  0.000298  0.000131  0.037143    2.2786    1.6134  0.00007 -0.00021 -0.00008
   1.03317  0.00505 -0.01227 -0.80714  0.000326  0.000142  0.037253    2.2954    1.6109  0.00009 -0.00026 -0.00012
   1.03573  0.00678 -0.01415 -0.87698  0.000359  0.000155  0.036184    2.3126    1.6084  0.00012 -0.00031 -0.00017
   1.03847  0.00879 -0.01602 -0.93433  0.000396  0.000170  0.034409    2.3301    1.6060  0.00015 -0.00037 -0.00022
   1.04143  0.01108 -0.01789 -0.98141  0.000436  0.000186  0.032266    2.3474    1.6036  0.00018 -0.00043 -0.00028
   1.04465  0.01369 -0.01977 -1.02018  0.000480  0.000203  0.029976    2.3643    1.6013  0.00021 -0.00049 -0.00035
